"pathway" "deceacelist"
"17" "Fanconi Syndrome" "Cori Cycle"
"18" "CRANIOFRONTONASAL SYNDROME" ""
"19" "Exostoses, Multiple Hereditary" ""
"20" "Factor XI Deficiency" "Complement and Coagulation Cascades;Blood Clotting Cascade"
"21" "Factor V Deficiency" "Complement and Coagulation Cascades;Blood Clotting Cascade"
"22" "Factor VII Deficiency" "Complement and Coagulation Cascades;Blood Clotting Cascade;Vitamin B12 Metabolism;Folate Metabolism"
"23" "PFEIFFER SYNDROME" "Angiogenesis;Regulation of Actin Cytoskeleton;Signaling Pathways in Glioblastoma;Neural Crest Differentiation"
"24" "BLADDER CANCER" "Estrogen metabolism;Matrix Metalloproteinases;Nuclear Receptors in Lipid Metabolism and Toxicity;Angiogenesis;Tamoxifen metabolism;Integrated Cancer pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Aflatoxin B1 metabolism;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;TGF Beta Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Oncostatin M Signaling Pathway;Spinal Cord Injury;Arylamine metabolism;Androgen receptor signaling pathway;Benzo(a)pyrene metabolism;Endochondral Ossification;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;Nuclear Receptors;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"25" "Urinary Bladder Neoplasms" "Estrogen metabolism;Matrix Metalloproteinases;Nuclear Receptors in Lipid Metabolism and Toxicity;Angiogenesis;Tamoxifen metabolism;Integrated Cancer pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Aflatoxin B1 metabolism;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;TGF Beta Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Oncostatin M Signaling Pathway;Spinal Cord Injury;Arylamine metabolism;Androgen receptor signaling pathway;Benzo(a)pyrene metabolism;Endochondral Ossification;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;Nuclear Receptors;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"26" "Keratosis, Seborrheic" "Integrated Cancer pathway;Estrogen signaling pathway;Alzheimers Disease;TP53 Network;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway"
"27" "Achondroplasia" "Endochondral Ossification"
"28" "Fragile X Syndrome" ""
"29" "BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS" ""
"30" "Glycogen Storage Disease Type II" ""
"31" "GALACTOKINASE DEFICIENCY" ""
"32" "Mucopolysaccharidosis IV" ""
"33" "Tetralogy of Fallot" "Heart Development"
"34" "Alexander Disease" "Interferon type I signaling pathways;Leptin signaling pathway;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;MicroRNAs in cardiomyocyte hypertrophy;Oncostatin M Signaling Pathway;Alpha 6 Beta 4 signaling pathway;TSH signaling pathway;Senescence and Autophagy;FSH signaling pathway"
"35" "Laron Syndrome" "Endochondral Ossification"
"36" "Polydactyly" "Endochondral Ossification"
"37" "Sialic Acid Storage Disease" ""
"38" "Mucopolysaccharidosis VII" ""
"39" "Holocarboxylase Synthetase Deficiency" ""
"40" "Lesch-Nyhan Syndrome" "Nucleotide Metabolism"
"41" "Hyperkeratosis, Epidermolytic" ""
"42" "Nail-Patella Syndrome" ""
"43" "alpha-Mannosidosis" ""
"44" "Supranuclear Palsy, Progressive" ""
"45" "Obesity" "Monoamine GPCRs;Adipogenesis;Statin Pathway;Vitamin B12 Metabolism;Dopamine metabolism;Folate Metabolism"
"46" "Rett Syndrome" "ID signaling pathway"
"47" "Familial Mediterranean Fever" "NOD pathway;Selenium Micronutrient Network;Apoptosis Modulation by HSP70;Apoptosis;Folate Metabolism"
"48" "Multiple Endocrine Neoplasia Type 1" ""
"49" "Carcinoma, Renal Cell" "Matrix Metalloproteinases;Angiogenesis;Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Osteopontin Signaling;Oncostatin M Signaling Pathway;TP53 Network;Apoptosis;AGE/RAGE pathway;Integrated Pancreatic Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"50" "Optic Atrophy, Hereditary, Leber" "Electron Transport Chain;Oxidative phosphorylation"
"51" "De Lange Syndrome" ""
"52" "CADASIL" "Notch Signaling Pathway;Neural Crest Differentiation"
"53" "Zellweger Syndrome" ""
"54" "Pelizaeus-Merzbacher Disease" "Glial Cell Differentiation"
"55" "Wolff-Parkinson-White Syndrome" ""
"56" "Gerstmann-Straussler-Scheinker Disease" ""
"57" "Multiple Endocrine Neoplasia Type 2b" "Aryl Hydrocarbon Receptor"
"58" "Coffin-Lowry Syndrome" ""
"59" "Antithrombin III Deficiency" "Complement and Coagulation Cascades"
"60" "CARNITINE DEFICIENCY, SYSTEMIC PRIMARY" ""
"61" "Cystinuria" ""
"62" "Hartnup Disease" ""
"63" "Mitral Valve Prolapse" ""
"64" "Spinal Muscular Atrophies of Childhood" ""
"65" "VELOCARDIOFACIAL SYNDROME" ""
"66" "SPONDYLOEPIPHYSEAL DYSPLASIA TARDA, X-LINKED" ""
"67" "Lupus Erythematosus, Systemic" "Allograft Rejection;TCR Signaling Pathway;Inflammatory Response Pathway;Spinal Cord Injury;Cytokines and Inflammatory Response;Folate Metabolism"
"68" "Carpal Tunnel Syndrome" "Nuclear Receptors"
"69" "Craniosynostoses" "Angiogenesis;Regulation of Actin Cytoskeleton;Signaling Pathways in Glioblastoma;Neural Crest Differentiation"
"70" "JOHANSON-BLIZZARD SYNDROME" ""
"71" "Wilms Tumor" ""
"72" "Autistic Disorder" "SIDS Susceptibility Pathways;Cytokines and Inflammatory Response"
"73" "Ichthyosis, Lamellar" ""
"74" "Cleft Lip" "Angiogenesis;One Carbon Metabolism;Regulation of Actin Cytoskeleton;Endochondral Ossification;Neural Crest Differentiation"
"75" "Esophageal Neoplasms" "Fluoropyrimidine Activity;Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Aflatoxin B1 metabolism;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;TGF Beta Signaling Pathway;DNA Damage Response;Osteopontin Signaling;Spinal Cord Injury;Apoptosis Modulation by HSP70;Apoptosis Modulation and Signaling;Endochondral Ossification;TP53 Network;Apoptosis;Fatty Acid Omega Oxidation;AGE/RAGE pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"76" "Nervous System Diseases" "Fluoropyrimidine Activity;Selenium Micronutrient Network;Tamoxifen metabolism;Allograft Rejection;Trans-sulfuration and one carbon metabolism;FAS pathway and Stress induction of HSP regulation;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Alzheimers Disease;Codeine and Morphine Metabolism;One Carbon Metabolism;Oncostatin M Signaling Pathway;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;Glycine Metabolism;Apoptosis Modulation and Signaling;Apoptosis;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway;MAPK Signaling Pathway;Arachidonate Epoxygenase / Epoxide Hydrolase;Folate Metabolism"
"77" "Cholestasis" "Nuclear Receptors in Lipid Metabolism and Toxicity;Drug Induction of Bile Acid Pathway"
"78" "Cholangitis" ""
"79" "Atherosclerosis" "Complement and Coagulation Cascades;Matrix Metalloproteinases;Angiogenesis;Selenium Micronutrient Network;Adipogenesis;Blood Clotting Cascade;Eicosanoid Synthesis;TWEAK Signaling Pathway;Statin Pathway;Osteopontin Signaling;Oncostatin M Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Endochondral Ossification;AGE/RAGE pathway;IL-6 signaling pathway;SREBF and miR33 in cholesterol and lipid homeostasis;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"80" "Coronary Disease" "Complement and Coagulation Cascades;Matrix Metalloproteinases;Osteoblast Signaling;Selenium Micronutrient Network;Adipogenesis;Blood Clotting Cascade;Statin Pathway;ACE Inhibitor Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Monoamine Transport;Serotonin Transporter Activity;Nuclear Receptors;Folate Metabolism"
"81" "Stomach Neoplasms" "Angiogenesis;Integrated Cancer pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;Leptin signaling pathway;Interleukin-11 Signaling Pathway;Osteopontin Signaling;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;AGE/RAGE pathway;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"82" "Muscular Dystrophy, Facioscapulohumeral" ""
"83" "Brain Ischemia" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Blood Clotting Cascade;Allograft Rejection;TWEAK Signaling Pathway;Osteopontin Signaling;Spinal Cord Injury;Vitamin B12 Metabolism;Amyotrophic lateral sclerosis (ALS);Serotonin Transporter Activity;Folate Metabolism"
"84" "Gaucher Disease" ""
"85" "Kidney Diseases" "Selenium Micronutrient Network;Adipogenesis;ACE Inhibitor Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;AGE/RAGE pathway;Folate Metabolism"
"86" "Meningococcal Infections" ""
"87" "Hypertension, Pregnancy-Induced" "Type II interferon signaling (IFNG);Matrix Metalloproteinases;Angiogenesis;Blood Clotting Cascade;ACE Inhibitor Pathway;Vitamin B12 Metabolism;Cytokines and Inflammatory Response;Folate Metabolism"
"88" "Severe Acute Respiratory Syndrome" "Type II interferon signaling (IFNG);Alanine and aspartate metabolism;ACE Inhibitor Pathway"
"89" "Myositis Ossificans" "BMP Signalling and Regulation"
"90" "Spinal Cord Diseases" "Matrix Metalloproteinases;Toll-like receptor signaling pathway;Allograft Rejection;TWEAK Signaling Pathway;SIDS Susceptibility Pathways;One carbon donor;Spinal Cord Injury;EBV LMP1 signaling;Cytokines and Inflammatory Response;Folate Metabolism"
"91" "Heart Valve Diseases" ""
"92" "Laryngeal Neoplasms" "Metapathway biotransformation;Aflatoxin B1 metabolism;DNA Damage Response;Spinal Cord Injury;Fatty Acid Omega Oxidation"
"93" "Diabetes Mellitus" "Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;Statin Pathway;Glutathione metabolism;Vitamin B12 Metabolism;SREBF and miR33 in cholesterol and lipid homeostasis;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
"94" "Heroin Dependence" "Monoamine GPCRs;SIDS Susceptibility Pathways;Peptide GPCRs;Hypothetical Network for Drug Addiction;GPCRs, Class A Rhodopsin-like;Nicotine Activity on Dopaminergic Neurons;Serotonin Transporter Activity;Dopamine metabolism;Biogenic Amine Synthesis"
"95" "Ischemia" "Angiogenesis;Selenium Micronutrient Network;Blood Clotting Cascade;Nucleotide GPCRs;Vitamin B12 Metabolism;Amyotrophic lateral sclerosis (ALS);Folate Metabolism"
"96" "Anxiety Disorders" "Biogenic Amine Synthesis"
"97" "Asthma" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Angiogenesis;Allograft Rejection;Eicosanoid Synthesis;Inflammatory Response Pathway;Spinal Cord Injury;Prostaglandin Synthesis and Regulation;Cytokines and Inflammatory Response"
"98" "Hyperlipoproteinemias" "AMPK Signaling;Adipogenesis;Statin Pathway;SREBP signalling;Vitamin B12 Metabolism;Fatty Acid Beta Oxidation;SREBF and miR33 in cholesterol and lipid homeostasis;Type II diabetes mellitus"
"99" "Congenital Abnormalities" ""
"100" "Anemia" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Selenium Micronutrient Network;Allograft Rejection;Inflammatory Response Pathway;ACE Inhibitor Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;Hypertrophy Model;Apoptosis;Regulation of toll-like receptor signaling pathway;EBV LMP1 signaling;Iron metabolism in placenta;Cytokines and Inflammatory Response;Folate Metabolism"
"101" "Nephrosis" "Selenium Micronutrient Network;ACE Inhibitor Pathway;Vitamin B12 Metabolism;Folate Metabolism"
"102" "Pituitary Neoplasms" "Adipogenesis;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Aryl Hydrocarbon Receptor;DNA Damage Response;G1 to S cell cycle control;Cell Cycle;Prostaglandin Synthesis and Regulation;TP53 Network;Arylhydrocarbon receptor (AhR) signaling pathway;miRNA Regulation of DNA Damage Response;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"103" "Retinal Degeneration" ""
"104" "Huntington Disease" ""
"105" "ACTH-Secreting Pituitary Adenoma" ""
"106" "Prolactinoma" ""
"107" "Muscular Atrophy" "TWEAK Signaling Pathway;Androgen receptor signaling pathway"
"108" "Skin Neoplasms" "Matrix Metalloproteinases;Angiogenesis;Estrogen signaling pathway;TWEAK Signaling Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;TCR Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Apoptosis;AGE/RAGE pathway;Integrated Pancreatic Cancer Pathway;MAPK Signaling Pathway"
"109" "Angioedema" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Vitamin B12 Metabolism"
"110" "Brain Diseases" ""
"111" "Hemolytic-Uremic Syndrome" "Complement and Coagulation Cascades"
"112" "Hepatitis, Autoimmune" "Allograft Rejection"
"113" "Adenoma" "Estrogen metabolism;Tamoxifen metabolism;Integrated Cancer pathway;Wnt Signaling Pathway Netpath;Aryl Hydrocarbon Receptor;G1 to S cell cycle control;Arylamine metabolism;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;Nuclear Receptors;Thyroxine (Thyroid Hormone) Production;Integrated Pancreatic Cancer Pathway;Senescence and Autophagy"
"114" "Amyotrophic Lateral Sclerosis" "Phase I biotransformations, non P450;Alzheimers Disease;Amyotrophic lateral sclerosis (ALS)"
"115" "Angelman Syndrome" ""
"116" "Tooth Abnormalities" ""
"117" "Spondylitis, Ankylosing" "Type II interferon signaling (IFNG);Selenium Micronutrient Network;Allograft Rejection;Spinal Cord Injury;Vitamin B12 Metabolism;Monoamine Transport;Arylhydrocarbon receptor (AhR) signaling pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"118" "Osteoporosis" "Osteoblast Signaling;Vitamin D Metabolism;Interleukin-11 Signaling Pathway;RANKL/RANK Signaling Pathway;Osteoclast Signaling;Nifedipine Activity;Endochondral Ossification;IL-1 signaling pathway;Senescence and Autophagy;Cytokines and Inflammatory Response"
"119" "Intellectual Disability" ""
"120" "Mesothelioma" "Angiogenesis;Aryl Hydrocarbon Receptor;Osteopontin Signaling;Oncostatin M Signaling Pathway;TP53 Network;Apoptosis;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"121" "Rectal Neoplasms" "Nanoparticle-mediated activation of receptor signaling;Nuclear Receptors in Lipid Metabolism and Toxicity;Allograft Rejection;Aflatoxin B1 metabolism;Aryl Hydrocarbon Receptor;Oncostatin M Signaling Pathway;Spinal Cord Injury;ErbB Signaling Pathway;Wnt Signaling Pathway and Pluripotency;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;MAPK Cascade;Signaling Pathways in Glioblastoma;Folate-Alcohol and Cancer Pathway;Arachidonate Epoxygenase / Epoxide Hydrolase"
"122" "Hyperlipoproteinemia Type V" "Statin Pathway"
"123" "Multiple Sclerosis" "Type II interferon signaling (IFNG);Allograft Rejection;Inflammatory Response Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;IL-6 signaling pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"124" "Sea-Blue Histiocyte Syndrome" "Statin Pathway;Alzheimers Disease;Vitamin B12 Metabolism"
"125" "Marijuana Abuse" "Glycogen Metabolism;Calcium Regulation in the Cardiac Cell;Statin Pathway;SREBP signalling;Alzheimers Disease;Myometrial Relaxation and Contraction Pathways;Endothelin Pathways"
"126" "Diabetes Insipidus, Nephrogenic" ""
"127" "Breast Neoplasms, Male" "Integrated Cancer pathway;ATM Signaling Pathway;Nuclear Receptors;Integrated Pancreatic Cancer Pathway;Ovarian Infertility Genes;Integrated Breast Cancer Pathway"
"128" "Coronary Vasospasm" ""
"129" "Colitis, Ulcerative" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;NOD pathway;Allograft Rejection;Inflammatory Response Pathway;TSLP Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Regulation of toll-like receptor signaling pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"130" "Neoplasms, Basal Cell" "Hedgehog Signaling Pathway;TGF Beta Signaling Pathway"
"131" "Choledocholithiasis" "Estrogen metabolism;Glucuronidation;Codeine and Morphine Metabolism;Irinotecan Pathway;Arylhydrocarbon receptor (AhR) signaling pathway"
"132" "Neoplasms, Germ Cell and Embryonal" "Cardiac Progenitor Differentiation;Apoptosis"
"133" "Myocardial Stunning" ""
"134" "Hypertension, Portal" "Matrix Metalloproteinases;Angiogenesis;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Spinal Cord Injury;Monoamine Transport;Amyotrophic lateral sclerosis (ALS);Endothelin Pathways;Effects of Nitric Oxide"
"135" "Adrenal Hyperplasia, Congenital" "Corticotropin-releasing hormone;Glucocorticoid & Mineralcorticoid Metabolism;Steroid Biosynthesis;Nuclear Receptors;Oxidation by Cytochrome P450"
"136" "Celiac Disease" "Phase I biotransformations, non P450;Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Allograft Rejection;TCR Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Regulation of toll-like receptor signaling pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"137" "Soft Tissue Neoplasms" "Integrated Cancer pathway;DNA Damage Response (only ATM dependent);FAS pathway and Stress induction of HSP regulation;Alzheimers Disease;TP53 Network;Apoptosis;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"138" "Epilepsy, Temporal Lobe" "GPCRs, Class C Metabotropic glutamate, pheromone;Hypothetical Network for Drug Addiction;Amyotrophic lateral sclerosis (ALS);Serotonin Transporter Activity"
"139" "Obesity, Morbid" "Adipogenesis;Leptin signaling pathway"
"140" "Epilepsy, Benign Neonatal" ""
"141" "Carcinoma, Small Cell" "Estrogen metabolism;Tamoxifen metabolism;Aflatoxin B1 metabolism;Benzo(a)pyrene metabolism;TP53 Network;Fatty Acid Omega Oxidation;Tryptophan metabolism"
"142" "Pulmonary Veno-Occlusive Disease" "Synaptic Vesicle Pathway;Monoamine Transport;Heart Development;Serotonin Transporter Activity;BMP Signalling and Regulation"
"143" "Familial benign recurrent vertigo" ""
"144" "Thyroid Neoplasms" "Nanoparticle-mediated activation of receptor signaling;Angiogenesis;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Focal Adhesion;Aryl Hydrocarbon Receptor;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;Leptin signaling pathway;Osteopontin Signaling;Oncostatin M Signaling Pathway;Androgen receptor signaling pathway;Endochondral Ossification;TP53 Network;Apoptosis;AGE/RAGE pathway;ErbB Signaling Pathway;Thyroxine (Thyroid Hormone) Production;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"145" "Hereditary Breast and Ovarian Cancer Syndrome" "Integrated Cancer pathway;ATM Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Homologous recombination;Signaling Pathways in Glioblastoma"
"146" "Agammaglobulinemia" "Toll-like receptor signaling pathway;Regulation of toll-like receptor signaling pathway;Cytokines and Inflammatory Response"
"147" "Immune Complex Diseases" "Complement and Coagulation Cascades;Complement Activation, Classical Pathway"
"148" "Immunologic Deficiency Syndromes" "Complement Activation, Classical Pathway"
"149" "Dermatomyositis" "Type II interferon signaling (IFNG);Matrix Metalloproteinases;Allograft Rejection;FAS pathway and Stress induction of HSP regulation;SIDS Susceptibility Pathways;Cytokines and Inflammatory Response"
"150" "Pemphigus" "Allograft Rejection;TWEAK Signaling Pathway;Cytokines and Inflammatory Response"
"151" "Meningitis" "Complement Activation, Classical Pathway"
"152" "Facial Dermatoses" "Complement and Coagulation Cascades;Complement Activation, Classical Pathway"
"153" "Epilepsy, Absence" ""
"154" "Hyperthyroidism" "Adipogenesis;Drug Induction of Bile Acid Pathway"
"155" "Mycoplasma Infections" ""
"156" "Hypoparathyroidism" "Vitamin D Metabolism"
"157" "Acatalasia" "Selenium Micronutrient Network;DNA Damage Response (only ATM dependent);Oxidative Stress;Amyotrophic lateral sclerosis (ALS);Tryptophan metabolism;Folate Metabolism"
"158" "Pulmonary Embolism" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Blood Clotting Cascade;One carbon donor;Vitamin B12 Metabolism;Folate Metabolism"
"159" "Glaucoma, Open-Angle" ""
"160" "Homocystinuria" "Trans-sulfuration pathway;Trans-sulfuration and one carbon metabolism;One Carbon Metabolism;Vitamin B12 Metabolism;Folate-Alcohol and Cancer Pathway;Folate Metabolism"
"161" "Hydrops Fetalis" "Pentose Phosphate Pathway;Cori Cycle"
"162" "THYROID CARCINOMA, PAPILLARY" ""
"163" "Spinal Dysraphism" "Angiogenesis;Acetylcholine Synthesis;Trans-sulfuration and one carbon metabolism;One Carbon Metabolism;Signaling Pathways in Glioblastoma;Folate Metabolism"
"164" "Tuberculosis, Pulmonary" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Allograft Rejection;TWEAK Signaling Pathway;TGF Beta Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Regulation of toll-like receptor signaling pathway;EBV LMP1 signaling;Cytokines and Inflammatory Response;Folate Metabolism"
"165" "Uterine Neoplasms" "Aryl Hydrocarbon Receptor;Oncostatin M Signaling Pathway;Arylhydrocarbon receptor (AhR) signaling pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"166" "Endometriosis" "Matrix Metalloproteinases;Angiogenesis;Adipogenesis;Allograft Rejection;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;Aryl Hydrocarbon Receptor;Leptin signaling pathway;Osteopontin Signaling;Oncostatin M Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Hypertrophy Model;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;EBV LMP1 signaling;Integrated Pancreatic Cancer Pathway;Ovarian Infertility Genes;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;Cytokines and Inflammatory Response;Folate Metabolism"
"167" "Double Outlet Right Ventricle" ""
"168" "Azoospermia" ""
"169" "Rhinitis" "Proteasome Degradation;Allograft Rejection;Spinal Cord Injury;Cytokines and Inflammatory Response"
"170" "Chordoma" ""
"171" "Epilepsy, Frontal Lobe" "Nicotine Activity on Dopaminergic Neurons"
"172" "Myasthenic Syndromes, Congenital" ""
"173" "Sarcoma, Ewing" ""
"174" "Osteopetrosis" "RANKL/RANK Signaling Pathway;Osteoclast Signaling"
"175" "Bartter Syndrome" "ACE Inhibitor Pathway"
"176" "IgA Deficiency" ""
"177" "Dengue Hemorrhagic Fever" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Selenium Micronutrient Network;Allograft Rejection;TWEAK Signaling Pathway;Aryl Hydrocarbon Receptor;SIDS Susceptibility Pathways;Spinal Cord Injury;Vitamin B12 Metabolism;Monoamine Transport;Cytokines and Inflammatory Response;Folate Metabolism"
"178" "Cartilage Diseases" "Neural Crest Differentiation"
"179" "Endomyocardial Fibrosis" ""
"180" "Muscular Dystrophies" "Arrhythmogenic Right Ventricular Cardiomyopathy"
"181" "Endocrine System Diseases" ""
"182" "Retinal Telangiectasis" ""
"183" "Cushing Syndrome" ""
"184" "Pituitary Apoplexy" "Corticotropin-releasing hormone;Myometrial Relaxation and Contraction Pathways"
"185" "Spasms, Infantile" ""
"186" "Hyperparathyroidism, Secondary" "DNA Damage Response (only ATM dependent);Vitamin D Metabolism;Aryl Hydrocarbon Receptor;DNA Damage Response;G1 to S cell cycle control;Cell Cycle;Spinal Cord Injury;Vitamin B12 Metabolism;Arylhydrocarbon receptor (AhR) signaling pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;IL-6 signaling pathway;Ovarian Infertility Genes;Senescence and Autophagy;Signaling Pathways in Glioblastoma;miRNAs involved in DNA damage response;Folate Metabolism"
