"pathway" "deceacelist"
"23" "G13 Signaling Pathway" "Wiskott-Aldrich Syndrome"
"24" "IL17 signaling pathway" "Job's Syndrome;Ectodermal Dysplasia;Incontinentia Pigmenti"
"25" "SRF and miRs in Smooth Muscle Differentiation and Proliferation" ""
"26" "Alanine and aspartate metabolism" "Argininosuccinic Aciduria;Severe Acute Respiratory Syndrome;Pyruvate Carboxylase Deficiency Disease;Hyperoxaluria, Primary;Canavan Disease;Citrullinemia;Hyperoxaluria;Neuronal Ceroid-Lipofuscinoses;Stiff-Person Syndrome"
"27" "Toll-like receptor signaling pathway" "Lupus Erythematosus, Systemic;Spinal Cord Diseases;Asthma;Anemia;Multiple Sclerosis;Colitis, Ulcerative;Celiac Disease;Agammaglobulinemia;Dermatomyositis;Tuberculosis, Pulmonary;Dengue Hemorrhagic Fever;Cystitis, Interstitial;Enterocolitis, Necrotizing;Angina, Unstable;HIV-Associated Lipodystrophy Syndrome;Leukemia, Lymphoid;Schistosomiasis mansoni;Bacterial Infections;Bronchiolitis;Temporomandibular Joint Dysfunction Syndrome;Pneumoconiosis;Mycoses;Otitis Media with Effusion;Gingivitis;Vaginal Diseases;Burning Mouth Syndrome;Bacteriuria;Elephantiasis, Filarial;Lyme Neuroborreliosis;Herpes Simplex;Stomatitis, Aphthous;Hypoxia-Ischemia, Brain;Polychondritis, Relapsing;Vaccinia;Burkitt Lymphoma;Pancreatic Neoplasms;Arthritis, Rheumatoid;Sarcoidosis;Glioma;Hepatitis C;Scleroderma, Systemic;Pancreatitis, Chronic;Polymyositis;Hyperglycemia;Fetal Membranes, Premature Rupture;Sjogren's Syndrome;Malaria, Cerebral;Guillain-Barre Syndrome;Respiratory Syncytial Virus Infections;Chlamydia Infections;Chlamydophila Infections;Obstetric Labor, Premature;Leprosy, Lepromatous;Vaginosis, Bacterial;Aspergillosis;Molluscum Contagiosum;Alveolitis, Extrinsic Allergic;Aneurysm;Kidney Failure, Chronic;Coronary Restenosis;Glomerulonephritis;Hypersensitivity;Stomach Diseases;Dermatitis, Atopic;Lymphoma;Multiple Myeloma;Osteosarcoma;Pulmonary Fibrosis;Leishmaniasis, Cutaneous;BILIARY CIRRHOSIS, PRIMARY, 1;Myasthenia Gravis;Pneumonia;Stomatitis;Encephalitis;Gastroesophageal Reflux;Acquired Immunodeficiency Syndrome;Mitochondrial Myopathies;Leprosy;Schistosomiasis japonica;Otitis Media;Mycobacterium Infections;Pneumococcal Infections;Gastritis;Conjunctivitis, Allergic;Silicosis;Temporomandibular Joint Disorders;Ectodermal Dysplasia;Brucellosis;Warts;Uterine Diseases;Melanoma;Liver Cirrhosis, Biliary;Helicobacter Infections;Dermatitis, Contact;Hepatitis B;Periodontitis;Virus Diseases;Legionnaires' Disease;Incontinentia Pigmenti;HIV Wasting Syndrome;Gastritis, Atrophic;Uveitis, Anterior;Histiocytosis, Langerhans-Cell;Tuberculosis, Meningeal;Lung Diseases, Fungal;Influenza, Human;Lyme Disease"
"28" "Gastric acid production" "Biliary Tract Neoplasms;Anemia, Pernicious"
"29" "Trans-sulfuration pathway" ""
"30" "Signal Transduction of S1P Receptor" ""
"31" "Nuclear Receptors in Lipid Metabolism and Toxicity" "BLADDER CANCER;Urinary Bladder Neoplasms;Cholestasis;Cholangitis;Rectal Neoplasms;Osteomalacia;Neoplasms, Glandular and Epithelial;Osteonecrosis;Liver Diseases;Fatty Liver;Fatty Liver, Alcoholic;Cholestasis, Intrahepatic;Peripheral Nervous System Diseases;Sciatic Neuropathy"
"32" "Metapathway biotransformation" "Occupational Diseases"
"33" "Angiogenesis" "PROSTATE CANCER;PFEIFFER SYNDROME;BLADDER CANCER;Urinary Bladder Neoplasms;Carcinoma, Renal Cell;Lupus Erythematosus, Systemic;Craniosynostoses;Cleft Lip;Esophageal Neoplasms;Atherosclerosis;Coronary Disease;Stomach Neoplasms;Kidney Diseases;Hypertension, Pregnancy-Induced;Ischemia;Asthma;Pituitary Neoplasms;Skin Neoplasms;Mesothelioma;Hypertension, Portal;Epilepsy, Temporal Lobe;Thyroid Neoplasms;Dermatomyositis;Spinal Dysraphism;Uterine Neoplasms;Endometriosis;MYELOFIBROSIS;Brain Infarction;Corneal Neovascularization;Acrocephalosyndactylia;Diabetic Angiopathies;Meningeal Neoplasms;Fibrosarcoma;Abortion, Habitual;Carcinoma, Ductal;INTESTINAL ATRESIA, MULTIPLE;Diverticulitis;POEMS Syndrome;Acanthoma;Lymphangioma;Proteus Syndrome;Ovarian Neoplasms;Gastrointestinal Stromal Tumors;Glycogen Storage Disease Type VII;Carcinoma;Adenocarcinoma;Pancreatic Neoplasms;Pre-Eclampsia;Retinopathy of Prematurity;Colonic Neoplasms;Intracranial Aneurysm;Glioblastoma;Glioma;Neurodegenerative Diseases;Carcinoma, Adenoid Cystic;Adenocarcinoma, Clear Cell;Uterine Cervical Neoplasms;Scleroderma, Systemic;Persistent Fetal Circulation Syndrome;Polymyositis;Cholangiocarcinoma;Primary Myelofibrosis;Periapical Periodontitis;Hyperglycemia;Hemangioma;Astrocytoma;Stomach Ulcer;Bone Neoplasms;Osteonecrosis;Port-Wine Stain;Dementia, Multi-Infarct;Macular Edema;Malaria, Cerebral;Intracranial Arteriosclerosis;Myoma;Meningitis, Bacterial;Synovitis, Pigmented Villonodular;Paget Disease, Extramammary;BREAST CANCER;Breast Neoplasms;Rubinstein-Taybi Syndrome;Chondrosarcoma;Craniofacial Dysostosis;Lung Neoplasms;Carcinoma, Squamous Cell;Diabetic Nephropathies;Heart Failure;Hypertension, Pulmonary;Diabetic Retinopathy;Hernia, Hiatal;Carcinoma, Lobular;Nephritis;Carcinoma, Transitional Cell;Carcinoma, Ductal, Breast;Lymphoma;Multiple Myeloma;Cleft Palate;Osteosarcoma;Uremia;Pulmonary Fibrosis;Hyperhomocysteinemia;Brain Neoplasms;Oral Submucous Fibrosis;Pneumonia;Leiomyoma;Mucocutaneous Lymph Node Syndrome;Ankylosis;Bronchopulmonary Dysplasia;Meningioma;Hypertension, Renovascular;Bird Fancier's Lung;Giant Cell Arteritis;Meningitis, Viral;Parotitis;Yersinia Infections;Placenta Accreta;Macular Degeneration;Medulloblastoma;OVARIAN CANCER;Prostatic Neoplasms;Leukemia, Myeloid, Acute;Cherubism;Liver Cirrhosis;Melanoma;Carcinoma, Non-Small-Cell Lung;Osteochondrodysplasias;Myocardial Ischemia;Endometrial Neoplasms;Leukemia;Pulmonary Disease, Chronic Obstructive;Hodgkin Disease;Gliosarcoma;Periodontitis;Brain Edema;Polycystic Kidney, Autosomal Dominant;Dementia, Vascular;Neuromuscular Diseases;Myeloproliferative Disorders;Neurilemmoma;Cholesteatoma"
"34" "Acetylcholine Synthesis" "Spinal Dysraphism;Pyruvate Metabolism, Inborn Errors;Pyruvate Dehydrogenase Complex Deficiency Disease"
"35" "Electron Transport Chain" "Optic Atrophy, Hereditary, Leber;Thoracic Neoplasms;Abdominal Neoplasms;Cytochrome-c Oxidase Deficiency;Leigh Disease;MELAS Syndrome"
"36" "NOD pathway" "Familial Mediterranean Fever"
"37" "Selenium Micronutrient Network" "Alzheimer Disease;Obesity;Familial Mediterranean Fever;Nervous System Diseases;Atherosclerosis;Coronary Disease;Brain Ischemia;Kidney Diseases;Diabetes Mellitus;Ischemia;Anemia;Nephrosis;Angioedema;Spondylitis, Ankylosing;Multiple Sclerosis;Colitis, Ulcerative;Pulmonary Embolism;Dengue Hemorrhagic Fever;Leishmaniasis;Periodontal Diseases;Sinus Thrombosis, Intracranial;Thrombophilia;Brain Infarction;Fibrous Dysplasia, Polyostotic;Behcet Syndrome;Diabetic Angiopathies;Hyperlipidemia, Familial Combined;Leishmaniasis, Mucocutaneous;Trichuriasis;Placenta Diseases;Leukemia, Lymphoid;Schistosomiasis mansoni;Abortion, Habitual;Neoplasms, Squamous Cell;Syndrome;Thrombophlebitis;Hypobetalipoproteinemias;Lyme Neuroborreliosis;Stomatitis, Aphthous;Hypoxia-Ischemia, Brain;Neutropenia;Hypertension;Diabetes Mellitus, Type 1;Cardiovascular Diseases;Vascular Diseases;Proteinuria;Glomerulonephritis, Membranous;Infarction, Middle Cerebral Artery;Intestinal Neoplasms;Arteriosclerosis;Anemia, Sickle Cell;Diabetic Neuropathies;Hepatitis C;Glaucoma;Pancreatitis, Chronic;Malaria, Falciparum;Leishmaniasis, Visceral;Myocarditis;Arthritis, Psoriatic;Hyperglycemia;Stomach Ulcer;Arterial Occlusive Diseases;Intracranial Thrombosis;Cerebral Palsy;Puerperal Disorders;Fetal Membranes, Premature Rupture;Obstetric Labor, Premature;Polymyalgia Rheumatica;Diabetes Mellitus, Type 2;Hyperlipoproteinemia Type II;Kidney Failure, Chronic;Coronary Restenosis;Diabetic Nephropathies;Heart Failure;Stroke;Diabetes, Gestational;Diabetic Retinopathy;Glomerulonephritis;Polycystic Ovary Syndrome;Hypersensitivity;Hypercholesterolemia;Carotid Stenosis;Parkinson Disease;Hyperhomocysteinemia;Leishmaniasis, Cutaneous;Malaria;Barrett Esophagus;Pancreatitis;Fatty Liver;Fatty Liver, Alcoholic;Pneumonia;Methemoglobinemia;Leukoencephalopathies;Cerebrovascular Disorders;Hyperinsulinism;Tuberous Sclerosis;Pregnancy Complications;Migraine with Aura;Schistosomiasis japonica;Gastritis;Antiphospholipid Syndrome;Silicosis;Tangier Disease;Liver Cirrhosis;Gallbladder Diseases;Myocardial Infarction;Cerebral Infarction;Ductus Arteriosus, Patent;Carotid Artery Diseases;Pulmonary Disease, Chronic Obstructive;Helicobacter Infections;Dermatitis, Contact;Bile Duct Neoplasms;Retinal Vein Occlusion;Fibrous Dysplasia of Bone;Myositis;HIV Wasting Syndrome;Pregnancy Complications, Hematologic;Gastritis, Atrophic;Histiocytosis, Langerhans-Cell;Lyme Disease;Boutonneuse Fever"
"38" "Calcium Regulation in the Cardiac Cell" ""
"39" "Nicotine Activity on Chromaffin Cells" ""
"40" "Sulindac Metabolic Pathway" "Vitiligo"
"41" "Histone Modifications" ""
"42" "Triacylglyceride Synthesis" ""
"43" "Tamoxifen metabolism" "BLADDER CANCER;Urinary Bladder Neoplasms;Nervous System Diseases;Adenoma;Carcinoma, Small Cell;Neoplasms, Glandular and Epithelial;Echinococcosis;Mental Disorders;Occupational Diseases;Essential Tremor;Liver Neoplasms;Head and Neck Neoplasms;Thalassemia;Liver Cirrhosis;Endometrial Neoplasms;Nephritis, Interstitial;Dyskinesia, Drug-Induced;Carcinoma, Large Cell;Bronchitis, Chronic;Bronchitis"
"44" "AMPK Signaling" "Hyperlipoproteinemias;Hyperlipidemias;Metabolic Diseases;Hyperglycemia;Ganglioglioma;Fatty Liver;Fatty Liver, Alcoholic;Hyperinsulinism;Tuberous Sclerosis;Peutz-Jeghers Syndrome"
"45" "Glycolysis and Gluconeogenesis" "Anemia, Hemolytic;Hypoglycemia;Pyruvate Dehydrogenase Complex Deficiency Disease"
"46" "Diurnally Regulated Genes with Circadian Orthologs" "Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
"47" "IL-7 Signaling Pathway" "PROSTATE CANCER;Esophageal Neoplasms;Keratosis, Actinic;Ovarian Neoplasms;Adenocarcinoma;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Hepatitis C;Cholangiocarcinoma;Thrombocythemia, Essential;Carcinoma, Mucoepidermoid;Paget Disease, Extramammary;Head and Neck Neoplasms;Lymphoma;Multiple Myeloma;Papilloma;Gastroesophageal Reflux;Lymphopenia;Retinoblastoma;OVARIAN CANCER;Prostatic Neoplasms;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Cholesteatoma"
"48" "Monoamine GPCRs" "Obesity;Heroin Dependence;Cystitis, Interstitial;Basal Ganglia Diseases;Dyskinesias;Helminthiasis;Motion Sickness;Mental Disorders;Hypertension;Anorexia Nervosa;Movement Disorders;Urinary Bladder, Neurogenic;Tourette Syndrome;Bulimia;Akathisia, Drug-Induced;Substance-Related Disorders;Heart Failure;Migraine Disorders;Blepharospasm;Irritable Bowel Syndrome;Antisocial Personality Disorder;Ocular Motility Disorders;Status Asthmaticus;Panic Disorder;Bipolar Disorder;Obsessive-Compulsive Disorder;Dyskinesia, Drug-Induced;Impulse Control Disorders;Conduct Disorder;Anovulation"
"49" "Integrated Cancer pathway" "Ataxia Telangiectasia;PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Keratosis, Seborrheic;Carcinoma, Renal Cell;Esophageal Neoplasms;Stomach Neoplasms;Laryngeal Neoplasms;Pituitary Neoplasms;Adenoma;Rectal Neoplasms;Breast Neoplasms, Male;Soft Tissue Neoplasms;Thyroid Neoplasms;Chordoma;Seminoma;Rhabdomyosarcoma;Meningeal Neoplasms;Lipomatosis;Carcinoma in Situ;Fibroadenoma;Eye Neoplasms;Orbital Neoplasms;Carcinoma, Ductal;Adenofibroma;Herpes Simplex;Carcinoma, Verrucous;Keratosis, Actinic;AIDS-Related Complex;Proteus Syndrome;Ovarian Neoplasms;Fanconi Anemia;SQUAMOUS CELL CARCINOMA, HEAD AND NECK;Carcinoma, Endometrioid;ENDOMETRIAL CANCER;Burkitt Lymphoma;Carcinoma;Neuroblastoma;Adenocarcinoma;Pancreatic Neoplasms;Colonic Neoplasms;Retinal Detachment;Colorectal Neoplasms, Hereditary Nonpolyposis;Glioblastoma;Intestinal Neoplasms;Glioma;Neurodegenerative Diseases;Small Cell Lung Carcinoma;Adenocarcinoma, Clear Cell;Uterine Cervical Neoplasms;Hepatitis C;Cholangiocarcinoma;Mixed Tumor, Mullerian;Neuroma, Acoustic;Ganglioglioma;Cystadenocarcinoma, Mucinous;BREAST CANCER;Breast Neoplasms;Chondrosarcoma;Neurofibromatoses;Neurofibromatosis 1;Lung Neoplasms;Carcinoma, Squamous Cell;Carcinoma, Lobular;Carcinoma, Transitional Cell;Head and Neck Neoplasms;Carcinoma, Ductal, Breast;Lymphoma;Multiple Myeloma;Sarcoma, Synovial;Osteosarcoma;Keratosis;Brain Neoplasms;Hemangiosarcoma;Leiomyosarcoma;Graves Disease;Leiomyoma;Meningioma;Carcinosarcoma;Anisometropia;Retinoblastoma;Gastritis;PANCREATIC CANCER;Carcinoma, Ehrlich Tumor;Bloom Syndrome;OVARIAN CANCER;Prostatic Neoplasms;Neurofibromatosis 2;Peripheral Nervous System Diseases;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Carcinoma, Non-Small-Cell Lung;Endometrial Neoplasms;Leukemia;Neuroendocrine Tumors;AIDS-related Kaposi sarcoma;Lymphoma, Follicular;Rhabdomyosarcoma, Embryonal;Liposarcoma;Li-Fraumeni Syndrome;Hodgkin Disease;Nijmegen Breakage Syndrome;Lymphoproliferative Disorders;Breast Diseases;Histiocytosis, Langerhans-Cell"
"50" "GPCRs, Other" ""
"51" "BDNF signaling pathway" "Status Epilepticus;Glioblastoma;Tuberous Sclerosis;Noonan Syndrome"
"52" "miR-targeted genes in adipocytes - TarBase" ""
"53" "NLR Proteins" "Ectodermal Dysplasia"
"54" "Pathogenic Escherichia coli infection" "Wiskott-Aldrich Syndrome;Acalculous Cholecystitis"
"55" "Wnt Signaling Pathway Netpath" "Glioblastoma;Heart Neoplasms;Medulloblastoma;Endometrial Neoplasms"
"56" "Adipogenesis" "Obesity;Atherosclerosis;Coronary Disease;Kidney Diseases;Diabetes Mellitus;Hyperlipoproteinemias;Pituitary Neoplasms;Obesity, Morbid;Hyperthyroidism;Leishmaniasis;Scleroderma, Localized;Hyperlipidemia, Familial Combined;HIV-Associated Lipodystrophy Syndrome;Hyperlipidemias;Sarcoidosis;Arteriosclerosis;Hypoglycemia;Metabolic Diseases;Hyperglycemia;Stomach Ulcer;Osteonecrosis;Fetal Membranes, Premature Rupture;Lipodystrophy;Hyperandrogenism;Choriocarcinoma;Diabetes Mellitus, Type 2;Kidney Failure, Chronic;Liver Neoplasms;Diabetic Nephropathies;Liver Diseases;Diabetes, Gestational;Metabolic Syndrome X;Aortic Aneurysm, Abdominal;Diabetic Retinopathy;Hernia, Hiatal;Polycystic Ovary Syndrome;Respiratory Distress Syndrome, Adult;Head and Neck Neoplasms;Fatty Liver;Fatty Liver, Alcoholic;Hyperinsulinism;Infertility;Jaundice, Obstructive;Liver Cirrhosis;Cerebral Infarction;Hepatitis B;Corneal Diseases"
"57" "Blood Clotting Cascade" "Factor XI Deficiency;Factor V Deficiency;Factor VII Deficiency;Atherosclerosis;Coronary Disease;Brain Ischemia;Hypertension, Pregnancy-Induced;Ischemia;Pulmonary Embolism;Periodontal Diseases;Blood Coagulation Disorders;Factor XIII Deficiency;Sinus Thrombosis, Intracranial;Thrombophilia;Sagittal Sinus Thrombosis;Hemophilia A, acquired;Brain Infarction;Behcet Syndrome;Diabetic Angiopathies;Placenta Diseases;Angina, Unstable;Leukemia, Lymphoid;Abortion, Habitual;Ischemic Attack, Transient;Thrombophlebitis;Intracranial Embolism;Factor XII Deficiency;Hypertension;Cardiovascular Diseases;Pre-Eclampsia;Vascular Diseases;Anuria;Infarction, Middle Cerebral Artery;Arteriosclerosis;Legg-Calve-Perthes Disease;Disseminated Intravascular Coagulation;Hypoprothrombinemias;Skin Diseases, Vascular;Hemorrhagic Disorders;Abortion, Spontaneous;Stomach Ulcer;Osteonecrosis;Arterial Occlusive Diseases;Cardiac Tamponade;Embolism, Cholesterol;Intracranial Thrombosis;Meningoencephalitis;Pericardial Effusion;Cerebral Palsy;Puerperal Disorders;Blood Protein Disorders;Cerebral Arterial Diseases;Anthrax;Afibrinogenemia;Hemophilia B;Diabetic Nephropathies;Hypertension, Pulmonary;Stroke;Polycystic Ovary Syndrome;Respiratory Distress Syndrome, Adult;Hypercholesterolemia;Carotid Stenosis;Hyperhomocysteinemia;Pneumonia;Cerebrovascular Disorders;Factor X Deficiency;Hemophilia A;Pregnancy Complications;Protein C Deficiency;Antiphospholipid Syndrome;Protein S Deficiency;Hepatopulmonary Syndrome;Liver Cirrhosis;Myocardial Infarction;Cerebral Infarction;Hypogonadism;Retinal Vein Occlusion;Myeloproliferative Disorders;Retinal Artery Occlusion;Pregnancy Complications, Hematologic;Spinal Cord Ischemia;Vitamin K Deficiency"
"58" "NAD Biosynthesis II (from tryptophan)" ""
"59" "Complement Activation, Classical Pathway" "Immunologic Deficiency Syndromes;Dermatomyositis;Meningitis;Facial Dermatoses;Neisseriaceae Infections;Purpura, Schoenlein-Henoch;Infertility;Macular Degeneration;Capillary Leak Syndrome"
